ACC;CAT;VOX;SUB;MSI_P;MSI_T;MUS;FMM;IES
1;Strings;0;4;20;43;2;2;1385.63434397027
1;Strings;0;8;14;51;2;2;718.494895649669
1;Strings;0;9;19;53;2;2;788.675361894975
1;Strings;0;10;32;57;2;2;806.159241549722
1;Strings;0;11;19;49;2;2;530.304876159087
1;Strings;0;12;20;42;2;2;717.284335363177
1;Strings;0;14;26;53;2;2;747.421874845689
1;Strings;0;15;40;56;2;2;1780.3884376257
1;Strings;0;18;10;55;2;2;702.13875061808
1;Strings;0;19;18;52;2;2;628.805919990519
1;Strings;0;20;25;40;2;2;766.928387956581
1;Strings;0;24;42;58;2;2;646.855419346543
1;Strings;0;28;14;51;2;2;642.035734871981
