Stimuli;;;;;;;;
-0.49148;;;;;;;;
;;;;;;;;
EXP 1A | IES SCORE;;;;;;;;
;/a/;/u/;Bassoon;Strings+Trumpet;;;;
;;;;;;;;
I;582 (528 | 639);752 (673 | 849);820 (726 | 930);563 (512 | 623);;;;
A;647 (594 | 696);1392 (1168 | 1637);1576 (1259 | 1971);862 (710 | 1067);;;;
A-I;64 (28 | 99);643 (445 | 846);764 (431 | 1119);296 (166 | 493);;;;
;;;;;;;;
EXP 1A | IES SCORE (MUSICIANS VS NON-MUSICIANS);;;;;;;;
;/a/;;/u/;;Bassoon;;Strings+Trumpet;
;M;N;M;N;M;N;M;N
I;577 (492 | 679);593 (527 | 658);786 (649 | 947);720 (627 | 816);806 (634 | 986);835 (741 | 923);501 (447 | 569);625 (541 | 720)
A;659 (575 | 752);634 (571 | 695);1465 (1079 | 1939);1314 (1075 | 1558);1531 (1149 | 2011);1613 (1079 | 2242);802 (645 | 1034);911 (715 | 1225)
A-I;82 (25 | 137);44 (3 | 78);681 (376 | 1058);598 (372 | 828);742 (350 | 1151);770 (271 | 1341);309 (196 | 468);286 (97 | 587)
;;;;;;;;
;;;;;;;;
EXP 1A | Anova;;;;;;;;
------;------;------;------;;;;;
Term;FStat;DF1;DF2;pValue;;;;
ACC_0:MSI_T:FMM_1;1.54208998206124;4.17098920946461;0.369718046395805;975;0.7116728708658;-6.64305947239282;9.7272394365153;
VOX_0:MSI_T:FMM_1;-4.79118061397702;4.17098920946438;-1.14869168280401;975;0.250964863673389;-12.9763300684306;3.39396884047658;
MSI_P:MSI_T:FMM_1;0.0635353749004493;0.303800407659003;0.20913525228631;975;0.834386341447168;-0.532642561827466;0.659713311628364;
ACC_0:VOX_0:MSI_P:MSI_T;0.153318894358771;0.303800407658993;0.50466981114412;975;0.613904804768515;-0.442859042369124;0.749496831086665;
ACC_0:VOX_0:MSI_P:FMM_1;2.21816396711753;13.0715536221576;0.169693980626566;975;0.865286009689997;-23.433453581182;27.869781515417;
ACC_0:VOX_0:MSI_T:FMM_1;3.34009040560123;4.1709892094646;0.800790948588902;975;0.423447767944658;-4.8450590488528;11.5252398600553;
ACC_0:MSI_P:MSI_T:FMM_1;-0.0547512921099107;0.303800407659001;-0.180221259516432;975;0.857016319113802;-0.650929228837821;0.541426644618;
VOX_0:MSI_P:MSI_T:FMM_1;0.110272759852152;0.303800407658979;0.362977655961327;975;0.716700250352366;-0.485905176875717;0.70645069658002;
ACC_0:VOX_0:MSI_P:MSI_T:FMM_1;-0.0834958453298549;0.303800407659001;-0.274837831763459;975;0.783499057141271;-0.679673782057765;0.512682091398056;
;;;;;;;;
;;;;;;;;
EXP 1A | GLME SUBSET;;;;;;;;
------;------;------;------;;;;;
Name;Estimate;SE;tStat;DF;pValue;Lower;Upper;
(Intercept);574.167332676368;70.1237273871801;8.18791804243618;999;8.05771431037137e-16;436.560635015293;711.774030337444;
ACC_1;72.9158657390484;78.7197158531952;0.926271963113148;999;0.354528371367441;-81.5590964883123;227.390827966409;
CAT_Strings+Trumpet;-13.4412045574032;71.86094015532;-0.18704465219007;999;0.851663602123444;-154.45690686021;127.574497745403;
CAT_Bassoon;246.105173097726;78.7197158531952;3.12634732519472;999;0.00182106938099457;91.6302108703649;400.580135325086;
CAT_/u/;236.898446278305;78.9009268389532;3.00247989179955;999;0.00274453619097244;82.0678862203783;391.729006336231;
ACC_1:CAT_Strings+Trumpet;234.719519313315;101.626716172535;2.30962416334327;999;0.0211121418430902;35.2932006091194;434.145838017511;
ACC_1:CAT_Bassoon;710.232528746999;111.326489785745;6.37972624587273;999;2.70919301448614e-10;491.771942117994;928.693115376005;
ACC_1:CAT_/u/;474.50684036811;111.454698959055;4.25739645613711;999;2.26310457861577e-05;255.794663562621;693.2190171736;
