ACC;CAT;VOX;SUB;MSI_P;MSI_T;MUS;FMM;IES
0;Strings;1;24;42;58;2;2;680.728739244722
0;Strings;1;28;40;59;2;2;584.591205861098
0;Strings;1;29;31;53;2;2;508.544175338505
0;Strings;1;30;14;51;2;2;395.489368524855
0;Winds;0;4;20;43;2;1;854.88272876745
0;Winds;0;8;14;51;2;1;358.975939057083
0;Winds;0;9;19;53;2;1;596.019053050312
0;Winds;0;10;32;57;2;1;505.98868057963
0;Winds;0;11;19;49;2;1;513.341481414266
0;Winds;0;14;26;53;2;1;724.304827248783
0;Winds;0;15;40;56;2;1;719.267777672121
0;Winds;0;18;10;55;2;1;565.803867043202
0;Winds;0;19;18;52;2;1;470.940218956692
0;Winds;0;24;42;58;2;1;458.093759692026
0;Winds;0;28;40;59;2;1;556.899170611277
0;Winds;0;29;31;53;2;1;484.874654892638
0;Winds;0;30;14;51;2;1;358.975939057083
0;Winds;0;4;20;43;2;2;854.88272876745
0;Winds;0;8;14;51;2;2;358.975939057083
0;Winds;0;9;19;53;2;2;596.019053050312
0;Winds;0;10;32;57;2;2;505.98868057963
0;Winds;0;11;19;49;2;2;513.341481414266
0;Winds;0;14;26;53;2;2;724.304827248783
0;Winds;0;15;40;56;2;2;719.267777672121
0;Winds;0;18;10;55;2;2;565.803867043202
0;Winds;0;19;18;52;2;2;470.940218956692
0;Winds;0;24;42;58;2;2;458.093759692026
0;Winds;0;28;40;59;2;2;556.899170611277
0;Winds;0;29;31;53;2;2;484.874654892638
0;Winds;0;30;14;51;2;2;358.975939057083
1;Vocals;1;1;11;38;1;1;584.805502275574
1;Vocals;1;2;26;36;1;1;905.92899700037
1;Vocals;1;3;13;45;1;1;793.654314562375
1;Vocals;1;5;14;37;1;1;572.760650882338
1;Vocals;1;6;17;43;1;1;477.401150525096
1;Vocals;1;7;13;47;1;1;922.031719250692
1;Vocals;1;12;20;42;1;1;673.221015833597
1;Vocals;1;13;16;43;1;1;613.080842749404
1;Vocals;1;16;9;33;1;1;446.371268293236
1;Vocals;1;17;9;36;1;1;413.542511176885
1;Vocals;1;21;12;47;1;1;802.1861434099
1;Vocals;1;22;7;23;1;1;994.36853316556
1;Vocals;1;23;10;51;1;1;592.840736710102
1;Vocals;1;25;13;35;1;1;615.194601424139
1;Vocals;1;26;7;28;1;1;619.535206351989
1;Vocals;1;27;22;37;1;1;430.579117539232
1;Vocals;1;1;11;38;1;1;608.107873326971
1;Vocals;1;2;26;36;1;1;903.52077369435
1;Vocals;1;3;13;45;1;1;796.976948683772
1;Vocals;1;5;14;37;1;1;559.225930144811
1;Vocals;1;6;17;43;1;1;505.636150195297
1;Vocals;1;7;13;47;1;1;697.057715936252
1;Vocals;1;12;20;42;1;1;736.026417979803
1;Vocals;1;13;16;43;1;1;573.869142380694
1;Vocals;1;16;9;33;1;1;459.669623839862
1;Vocals;1;17;9;36;1;1;373.009535873782
1;Vocals;1;21;12;47;1;1;1053.71398108142
1;Vocals;1;23;10;51;1;1;824.629660821115
1;Vocals;1;25;13;35;1;1;646.399084902951
1;Vocals;1;26;7;28;1;1;660.619147408498
1;Vocals;1;27;22;37;1;1;467.556004967076
1;Vocals;1;1;11;38;1;2;584.805502275574
1;Vocals;1;2;26;36;1;2;905.92899700037
1;Vocals;1;3;13;45;1;2;793.654314562375
1;Vocals;1;5;14;37;1;2;572.760650882338
1;Vocals;1;6;17;43;1;2;477.401150525096
1;Vocals;1;7;13;47;1;2;922.031719250692
1;Vocals;1;12;20;42;1;2;673.221015833597
1;Vocals;1;13;16;43;1;2;613.080842749404
1;Vocals;1;16;9;33;1;2;446.371268293236
1;Vocals;1;17;9;36;1;2;413.542511176885
1;Vocals;1;21;12;47;1;2;802.1861434099
1;Vocals;1;22;7;23;1;2;994.36853316556
1;Vocals;1;23;10;51;1;2;592.840736710102
1;Vocals;1;25;13;35;1;2;615.194601424139
1;Vocals;1;26;7;28;1;2;619.535206351989
1;Vocals;1;27;22;37;1;2;430.579117539232
1;Vocals;1;1;11;38;1;2;608.107873326971
1;Vocals;1;2;26;36;1;2;903.52077369435
1;Vocals;1;3;13;45;1;2;796.976948683772
1;Vocals;1;5;14;37;1;2;559.225930144811
1;Vocals;1;6;17;43;1;2;505.636150195297
1;Vocals;1;7;13;47;1;2;697.057715936252
1;Vocals;1;12;20;42;1;2;736.026417979803
1;Vocals;1;13;16;43;1;2;573.869142380694
1;Vocals;1;16;9;33;1;2;459.669623839862
1;Vocals;1;17;9;36;1;2;373.009535873782
1;Vocals;1;21;12;47;1;2;1053.71398108142
1;Vocals;1;23;10;51;1;2;824.629660821115
1;Vocals;1;25;13;35;1;2;646.399084902951
1;Vocals;1;26;7;28;1;2;660.619147408498
1;Vocals;1;27;22;37;1;2;467.556004967076
1;Strings;1;1;11;38;1;1;909.281061718511
1;Strings;1;3;13;45;1;1;794.192299553655
1;Strings;1;5;14;37;1;1;600.9897751704
1;Strings;1;6;17;43;1;1;688.123486497688
1;Strings;1;12;20;42;1;1;678.867439858017
1;Strings;1;13;16;43;1;1;902.5552887861
1;Strings;1;16;9;33;1;1;579.504838973403
1;Strings;1;17;9;36;1;1;564.160740958657
1;Strings;1;21;12;47;1;1;727.911185502212
1;Strings;1;22;7;23;1;1;762.214264396099
1;Strings;1;23;10;51;1;1;781.033450218207
1;Strings;1;25;13;35;1;1;967.659323031278
1;Strings;1;26;7;28;1;1;845.486957179315
1;Strings;1;27;22;37;1;1;730.406250325446
1;Strings;1;1;11;38;1;2;909.281061718511
1;Strings;1;3;13;45;1;2;794.192299553655
1;Strings;1;5;14;37;1;2;600.9897751704
1;Strings;1;6;17;43;1;2;688.123486497688
1;Strings;1;12;20;42;1;2;678.867439858017
1;Strings;1;13;16;43;1;2;902.5552887861
1;Strings;1;16;9;33;1;2;579.504838973403
1;Strings;1;17;9;36;1;2;564.160740958657
1;Strings;1;21;12;47;1;2;727.911185502212
1;Strings;1;22;7;23;1;2;762.214264396099
1;Strings;1;23;10;51;1;2;781.033450218207
1;Strings;1;25;13;35;1;2;967.659323031278
1;Strings;1;26;7;28;1;2;845.486957179315
